p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.322968524628477, 0.5177264533460356
, 1, 0.007098918713864716, 0.0007351461955630178
, 2, 0.0013919987510469648, 0.0003590226566372526
, 3, 0.0007820002691201679, 0.00014259771947957008
, 4, 0.00048081543292707917, 6.127386807335436e-5
c, 0, 0.3050833037277744, 0.2267506394409277
, 1, 0.0011308418274488118, 2.4572642707134503e-5
p, 0, 1.478121991449781, 9.271918245120338
, 1, 0.03194799476864353, 0.01943462433829351
, 2, 0.011114290171465924, 0.009616686879532634
, 3, 0.0038596424143443283, 0.0036606795237857015
, 4, 0.002355889680541984, 0.0015517685809906842
, 5, 0.0016958326543396588, 0.00060108136805839
, 6, 0.0009883073427046992, 0.0002466065504882171
, 7, 0.0008657698380932457, 9.97188301202676e-5
c, 0, 1.4428064724180976, 6.879625647975115
, 1, 0.010917498557507075, 0.001578598880148663
, 2, 0.0011779100962946215, 2.3232626861357477e-5
p, 0, 1.678970189967316, 5.0657430354693505
, 1, 0.02215842278633612, 0.00257569364562929
, 2, 0.0013973984155230363, 2.4743412953457918e-5
c, 0, 0.23714845418185138, 0.2637567001049994
, 1, 0.00200424224262043, 7.425326518149212e-5
p, 0, 1.3203013788797526, 9.998168881604997
, 1, 0.03253759417192805, 0.023864278397469768
, 2, 0.008839335686489834, 0.014310932488944387
, 3, 0.005018082800669482, 0.005823550303185544
, 4, 0.0031025829798952565, 0.0025967162320873058
, 5, 0.001903363241569735, 0.0009310075768628637
, 6, 0.0012202946571234184, 0.00038330082036410693
, 7, 0.0007767285159618494, 0.00015582925355319826
, 8, 0.0005335329288201482, 6.569286237978883e-5
c, 0, 0.2145905768595198, 0.15751587865327038
, 1, 0.0017536118028538216, 4.783200421520154e-5
p, 0, 3.801557046688708, 80.38961853271343
, 1, 0.11966230876892, 0.2345619608979267
, 2, 0.028031967647958726, 0.14014139285916208
, 3, 0.015557138564328598, 0.05979945657393035
, 4, 0.009469613252547714, 0.025392611658541137
