start_time,end_time
0:03:43,0:03:54
0:04:00,0:04:13
0:05:03,0:05:13
0:05:22,0:05:36
0:08:57,0:09:12
0:09:18,0:09:31
0:10:04,0:10:17
0:10:29,0:10:40
0:13:38,0:13:52
0:13:57,0:14:10
0:15:55,0:16:06
0:16:16,0:16:28
0:17:06,0:17:16
0:17:27,0:17:31
0:17:38,0:17:49
0:18:24,0:18:32
0:18:51,0:18:52
0:19:01,0:19:10
