start_time,end_time
0:07:32,0:07:53
0:09:00,0:09:18
0:09:38,0:09:54
0:17:56,0:18:10
0:18:29,0:18:44
0:19:23,0:19:37
0:19:53,0:20:05
0:22:12,0:22:28
0:23:02,0:23:16
0:25:36,0:25:58
0:26:15,0:26:28
