p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.5197065608984884, 1.082485309879463
, 1, 0.009432980792589982, 0.00138715533208119
, 2, 0.0022128259458949304, 0.0007130755634262259
, 3, 0.0011435693433536156, 0.0002802054204511214
, 4, 0.0005915649845247799, 0.0001033928097124579
, 5, 0.00042426978117459594, 4.013343933398004e-5
c, 0, 0.7681524376138691, 1.5456100087990081
, 1, 0.005333194133480711, 0.0004522934156261904
, 2, 0.0005885070141658385, 9.60303844795666e-6
p, 0, 2.9931365500885003, 44.29828703000054
, 1, 0.04033785149489016, 0.026723471416859695
, 2, 0.009580184619442891, 0.01719732756178524
, 3, 0.005523879299189635, 0.006755945009890038
, 4, 0.0032493568172504714, 0.0028250246825710598
, 5, 0.0023006684967410576, 0.0012178370040736538
, 6, 0.001363856321785859, 0.0004670410447360024
, 7, 0.0010133125128276854, 0.00018678119315061878
, 8, 0.0005045947561958342, 6.989049201706747e-5
c, 0, 2.585529105761527, 35.51930817026462
, 1, 0.02026245843291654, 0.007647824812243996
, 2, 0.0009058432226868836, 2.3613863848471392e-5
p, 0, 2.016950098484541, 38.13591578305531
, 1, 0.039809284589062854, 0.03700612229873253
, 2, 0.011888399546830995, 0.024163286290493136
, 3, 0.006309919974663888, 0.008601427320916335
, 4, 0.004012526553291684, 0.003760801798947206
, 5, 0.002559824831505011, 0.0014751489065475277
, 6, 0.0014868515155978647, 0.0006144315033565885
, 7, 0.0010487416720496756, 0.000234777933700027
, 8, 0.000610041910637286, 9.29537924847581e-5
c, 0, 0.3344557550228639, 0.6639262998823954
, 1, 0.0034399764112685452, 0.00023726719767430893
, 2, 0.0007963743195115043, 2.4794130921348134e-5
p, 0, 3.4515607306713405, 78.1460825930986
, 1, 0.06395144770438001, 0.09348524366863425
, 2, 0.01868547780822475, 0.06280874252060142
, 3, 0.010292044998761856, 0.02205296088083317
, 4, 0.006388308977046651, 0.009914893395928553
, 5, 0.003977380783969685, 0.0036447138002410387
, 6, 0.0023784389941163106, 0.001563805879336656
, 7, 0.001614158495643037, 0.0005886852768300528
, 8, 0.0009748769863147726, 0.0002333217582078585
, 9, 0.0006032112665710896, 9.045765240165584e-5
c, 0, 0.12595965395933587, 0.09878013727916812
, 1, 0.0011010890888578347, 3.2994438958857825e-5
p, 0, 0.6570585491712189, 1.3118954177384965
, 1, 0.009938928010108181, 0.0005550620084873437
, 2, 0.0011121700654150505, 0.00011500133485012169
, 3, 0.00037848996293867663, 2.4665142605793587e-5
c, 0, 0.1349935609745955, 0.14822968143267873
, 1, 0.0009545595650734848, 1.6545968563663838e-5
p, 0, 0.659069700019815, 0.8876820198784988
, 1, 0.008684554547622238, 0.000343492008451594
, 2, 0.0002534551323178397, 8.388464208136361e-7
