p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.17103383983150613, 0.09521460907592305
, 1, 0.0012830526976744514, 1.7849643853967315e-5
c, 0, 0.007883208952543658, 0.0002525674412474356
, 1, 4.710169180259e-5, 2.5987909565325997e-8
p, 0, 0.4503966040376833, 0.8664484881151994
, 1, 0.014516437451089693, 0.004197390870679223
, 2, 0.0036777339682315096, 0.0020410904868582045
, 3, 0.0018337697098243988, 0.0006930124146708992
, 4, 0.0011238453359076516, 0.00031621421083474104
, 5, 0.0007807610395618569, 0.00010400100847565064
, 6, 0.00043318014244832703, 4.9241208354230135e-5
c, 0, 0.35549171700902943, 0.43860575848404726
, 1, 0.002300704765605169, 6.461509496599072e-5
p, 0, 2.0039310473898015, 17.294788593084796
, 1, 0.048785510625507615, 0.033387309235350326
, 2, 0.01219953578131761, 0.025345989542736237
, 3, 0.006145648924095174, 0.0084153154219924
, 4, 0.0036154614741951818, 0.003594754936656819
, 5, 0.002450353010728171, 0.0012370434969823211
, 6, 0.0014010057151557548, 0.0005688933678421413
, 7, 0.001086941618695601, 0.00022130142231605737
, 8, 0.0009860006613507811, 0.00010435484114142314
, 9, 0.0008743720786388873, 4.561604392349879e-5
c, 0, 0.9618333828826451, 5.53601917693182
, 1, 0.007122894484912915, 0.0013155979319478808
, 2, 0.0005559649527187478, 2.0208397984040624e-5
p, 0, 1.6589204634921628, 16.372076586333616
, 1, 0.04900797067071763, 0.08031772769053344
, 2, 0.016122280451270482, 0.04384744262205149
, 3, 0.008364216754520546, 0.014555905473914669
, 4, 0.005062620167661546, 0.0063084565753795
, 5, 0.0033603121810903513, 0.0020576603362959306
, 6, 0.0019931005681708917, 0.000970725931331945
, 7, 0.0012868266636401392, 0.00032471383190150197
, 8, 0.0007780530173251147, 0.00015333433361946314
, 9, 0.0005106482495654566, 5.1924103202214135e-5
c, 0, 0.30991510691705293, 0.37092736740408094
, 1, 0.0030560427993763213, 0.00010919243718684194
, 2, 0.0005097572775333711, 1.727126960933819e-5
p, 0, 2.846337357969871, 42.41043790356449
, 1, 0.08533668114550477, 0.2742793081727968
, 2, 0.027545881724800516, 0.1348016350786606
, 3, 0.014453657209769141, 0.043725787270754705
, 4, 0.009349264388759463, 0.019822920024522107
, 5, 0.006038411677520294, 0.006339828939812204
