p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.19886471492702387, 0.15628524028327379
, 1, 0.0014931250749303337, 2.4575571316301438e-5
c, 0, 0.010735890397584234, 0.00038129367914494265
, 1, 5.569153973520271e-5, 3.7888672267344057e-8
p, 0, 0.4085800740383449, 0.7570885932101769
, 1, 0.007791111806748876, 0.0007979638365441849
, 2, 0.0017325271592752924, 0.00044865941112479904
, 3, 0.0008219027801571529, 0.00014966107110095053
, 4, 0.00047884350081329357, 6.256176303190601e-5
c, 0, 0.22705800315343455, 0.3289060274755462
, 1, 0.0019639724835408172, 7.663341202093442e-5
p, 0, 0.2662827391462133, 0.28289029577469815
, 1, 0.0031541520754298997, 0.00013239137650774072
, 2, 0.0005764292284670903, 5.3114566808920186e-5
c, 0, 0.036743125182788404, 0.0039809396540890505
, 1, 0.001025840143640865, 2.1745977070358526e-5
p, 0, 1.1217501869567168, 5.5233163315292355
, 1, 0.022236504449242588, 0.005065510729163898
, 2, 0.003661641708309529, 0.0021308208200852435
, 3, 0.0025654284544605276, 0.000968889900318808
, 4, 0.0011609609079580288, 0.00031086325340374475
, 5, 0.0008464008048147696, 0.00014644308957148435
, 6, 0.0005233982752121781, 4.987604455306117e-5
c, 0, 0.5069682849852312, 1.6306633888242474
, 1, 0.003828481438197688, 0.00023239012547072709
, 2, 0.0006343025431345829, 1.634032945408225e-5
p, 0, 0.8444455425368703, 4.80626069405177
, 1, 0.01812564177008843, 0.00545273086196117
, 2, 0.0045605565020787235, 0.003086483471457808
, 3, 0.002664855657593665, 0.0011971064430483015
, 4, 0.001494513395675141, 0.00044787951332875546
, 5, 0.0010130976789825105, 0.00019354622068090783
, 6, 0.000565389507587982, 7.174877701148039e-5
c, 0, 0.12044630211448254, 0.08960160907146678
, 1, 0.0015696813954531753, 3.1894125009374715e-5
