start_time,end_time
0:00:22,0:00:38
0:03:16,0:03:22
0:08:04,0:08:24
0:08:36,0:08:52
0:09:41,0:09:54
0:10:05,0:10:19
0:14:08,0:14:24
0:14:41,0:14:58
0:15:30,0:15:42
0:16:05,0:16:06
0:16:20,0:16:40
0:19:38,0:19:49
