start_time,end_time
0:00:41,0:00:50
0:07:15,0:07:27
0:07:44,0:07:47
0:08:20,0:08:42
0:09:14,0:09:19
0:15:17,0:15:39
0:18:12,0:18:23
0:19:20,0:19:34
