p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.38630604076595954, 0.6123409821871765
, 1, 0.007410344094508339, 0.0004710425092421021
, 2, 0.00010743255027017987, 2.176860998566386e-7
c, 0, 0.06355072527789751, 0.015834049608284585
, 1, 0.00032117087659916773, 1.837638025412767e-6
p, 0, 0.7983600432085712, 3.1148335061121037
, 1, 0.022443495902374214, 0.007680321361855087
, 2, 0.0048126761014941465, 0.0036369287473403578
, 3, 0.002409345165134071, 0.001306933157598376
, 4, 0.001319006572241698, 0.0005359439959359262
, 5, 0.0009582257580482317, 0.00019470609318486556
, 6, 0.0005686585609066847, 8.397239491905986e-5
c, 0, 0.5415211754839071, 1.7376780955650046
, 1, 0.006515953977650281, 0.0004510713581693329
, 2, 0.0007464400847597657, 2.2692967822263153e-5
p, 0, 2.113174282712844, 15.251019792529044
, 1, 0.023946402278448676, 0.011034185419976507
, 2, 0.006507046659809585, 0.006759445381497229
, 3, 0.0035778887062321, 0.002896761817264489
, 4, 0.0019732165243447424, 0.0010881002204055235
, 5, 0.0018999130374502795, 0.0004457122127171099
, 6, 0.0013451363476050786, 0.00015568925960528029
, 7, 0.0011525068377116227, 6.982210010417282e-5
c, 0, 0.9384843958132921, 3.832209904301166
, 1, 0.0047145892733632695, 0.00043223872949545454
, 2, 0.0010278561259090277, 1.9859334580938503e-5
p, 0, 1.8476274099985732, 17.414365428030678
, 1, 0.04031660567333722, 0.031242093555761255
, 2, 0.011736223753750637, 0.02221430061628139
, 3, 0.0060772842178944235, 0.0077781246283185074
, 4, 0.003463292491607541, 0.0032458549008157994
, 5, 0.0024658996112676894, 0.00126867525834899
, 6, 0.0013510460571910573, 0.0005188239685452297
, 7, 0.0009511799583973917, 0.00019610772496448276
, 8, 0.0005576236765808059, 8.172061015465313e-5
c, 0, 0.18319798657826494, 0.21525288863886982
, 1, 0.0019434422760763173, 6.409677754724393e-5
p, 0, 3.6386282523724556, 75.70801377975155
