p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0008258199374112904, 1.1154086795302121e-6
, 1, 3.6853308640313888e-6, 1.1413366234699668e-10
c, 0, 2.466978637615953e-6, 6.155519695545676e-11
, 1, 7.525101156672815e-8, 1.0403561136291411e-13
p, 0, 0.4489596652311001, 0.8906114911841653
, 1, 0.007951998682524183, 0.0008990289059364725
, 2, 0.0014052786831843492, 0.00012223283683689959
, 3, 0.0005639538016760554, 5.6647496082566534e-5
c, 0, 0.41542726018007964, 0.7652963176313491
, 1, 0.004383495369797059, 0.0002859025316774027
, 2, 0.0006707429242605639, 1.2348625068618436e-5
p, 0, 1.9999112168140292, 14.569195268332429
, 1, 0.02651485624599941, 0.012807176439790202
, 2, 0.010793550646367557, 0.007397942561816672
, 3, 0.004380939517430091, 0.003904187341650064
, 4, 0.001634752406155683, 0.0008409776693567196
, 5, 0.0015721432793654377, 0.0004577941460403199
, 6, 0.0006788316914635091, 0.0001358072068226412
, 7, 0.0006135800986910816, 7.11541558705747e-5
c, 0, 0.87052290940017, 5.180346402020051
, 1, 0.02153521425854324, 0.003506992674730169
, 2, 0.0008845687476217623, 1.8006702362818842e-5
