p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.05251115224699715, 0.008388896878362322
, 1, 0.00018136263819206323, 5.274527395404021e-7
c, 0, 0.003071143272035521, 2.3078127600213742e-5
, 1, 1.638152027454678e-5, 3.1445451792355117e-9
p, 0, 0.4871901349146177, 1.1697866091364162
, 1, 0.010252433543633479, 0.0012975352655096959
, 2, 0.0019810870804939976, 0.0006239002812102512
, 3, 0.0010476128494145876, 0.00023429798482930953
, 4, 0.0006062694775260416, 0.00010193108673625887
, 5, 0.0003980784724353536, 3.6624206531161856e-5
c, 0, 0.46884449945863466, 1.2246816405375258
, 1, 0.0045928262902261464, 0.00034105967760413264
, 2, 0.0005685431262627408, 9.725305901514019e-6
p, 0, 197.91781617784076, 76533.52891534632
, 1, 2.8278328727990067, 26.259241904653756
, 2, 0.03066398232037744, 0.010299895847545893
, 3, 0.0055153831494105954, 0.007869371001897062
, 4, 0.0022633032593902297, 0.0016004734816183206
, 5, 0.0018659266468095358, 0.0007763997342519805
, 6, 0.001011683702864391, 0.0002190592858570729
, 7, 0.0007401444008909711, 0.00013092771540907335
, 8, 0.00044697052026430813, 3.920787552615284e-5
c, 0, 2.0905863757884724, 23.66966845578492
, 1, 0.014455019794399396, 0.005121700241129077
, 2, 0.0009758877191323668, 1.943439375399636e-5
p, 0, 2.085598713782432, 28.439225067485683
, 1, 0.05094302354364645, 0.03795055530180256
, 2, 0.01025425212490342, 0.019754150234172443
, 3, 0.006574744270841629, 0.008896974369888785
, 4, 0.003842217961090428, 0.0034514563170901205
, 5, 0.0025284693225980626, 0.0014269917574596502
, 6, 0.0014790076428936284, 0.0005809596793019289
, 7, 0.0008917826151048688, 0.0002323193922646962
, 8, 0.0006036016633919857, 9.497908728082505e-5
c, 0, 0.3218531150886983, 0.5055927915466677
, 1, 0.002281783768004252, 0.00012116965798426049
, 2, 0.0006323515879971617, 2.4522420385101363e-5
p, 0, 3.1826301456216926, 60.2692973659903
