p/c, iter, r∞, r₂
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 0.0, 0.0
, 1, 0.0, 0.0
c, 0, 0.0, 0.0
, 1, 0.0, 0.0
p, 0, 7.055854667052426e-7, 9.957017016513098e-13
, 1, 2.2255149651920315e-8, 2.794214336496358e-15
c, 0, 1.3590072552605027e-8, 1.380410772229687e-15
, 1, 2.438750413287909e-8, 7.679923539728168e-15
p, 0, 0.276900271100549, 0.32060838243381745
, 1, 0.0032504107443380305, 0.00014155674273035496
, 2, 0.0005963583933377649, 5.599765575825659e-5
c, 0, 0.20238402198032443, 0.12652982707696608
, 1, 0.0018393854951947596, 4.6050248650016844e-5
p, 0, 1.309605717147419, 7.225513616257103
, 1, 0.02493794671317071, 0.010073432324098807
, 2, 0.005368389972187524, 0.0036900619551144057
, 3, 0.002554322273824237, 0.0014283231933611223
, 4, 0.0014125421809977297, 0.0005490082565746165
, 5, 0.0009849167463427191, 0.00022801172686410674
, 6, 0.0005563686968745986, 9.11376475769561e-5
c, 0, 0.7447053537131716, 3.002874452281387
, 1, 0.008099378501059728, 0.0009288554180752061
, 2, 0.001131404049593866, 2.709117091532188e-5
p, 0, 0.7932540195836563, 3.8671907210991723
, 1, 0.0180613577723833, 0.006326919210144205
, 2, 0.0044174925887027795, 0.003241532671419106
, 3, 0.002159050320009293, 0.001120563733702447
, 4, 0.001387908212725611, 0.00052237630488206
, 5, 0.0008629711844042338, 0.00018298143610085592
, 6, 0.000550149590683164, 8.294893649760872e-5
c, 0, 0.059548496156225435, 0.025014747748771743
, 1, 0.0014951800359203934, 2.724693129242163e-5
p, 0, 2.5057547798955806, 38.062864441226345
, 1, 0.07374028962245141, 0.0954583059436377
, 2, 0.01708366561359492, 0.049723209730389205
, 3, 0.00918882240907097, 0.01905552681572486
, 4, 0.005446445953898017, 0.007524606996258969
, 5, 0.003614338995840647, 0.0030726713646464683
, 6, 0.002170898573041166, 0.001231252207344199
, 7, 0.0013973309909726755, 0.000509335193717484
, 8, 0.0009062110173983105, 0.00021619841733825116
, 9, 0.0006180178244418155, 8.73659015440871e-5
c, 0, 0.05594710102407246, 0.019057581275447315
, 1, 0.0010815853161345516, 2.379037968602659e-5
p, 0, 0.5052142706630266, 0.6692911083828877
, 1, 0.007224449783645497, 0.0003002036601728428
